psid,study1,scholarshipCondition,gpa1,gpa2,gpa1value,gpa2value,name1,name2,club1,club2,scholarship,Q40,Q102,Q43,Q44,Q45,Q47,Q48,Q49,Q50,Q51,Q52,Q53,Q54,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q13,Q14,Q103_4,Q42,Q46,Q48,Q50,Q52_1,Q52_2,Q54,Q56,Q58,Q60_1,Q60_2,Q62,Q64,Q66,Q68_1,Q68_2,Q70,Q72,Q74,Q76_1,Q76_2,Q78,Q126,Q72,Q80,Q82,Q84,Q86,Q88,Q90,Q92,Q94,Q96,Q98_1,Q98_2,Q100,Q102,Q104,Q106_1,Q106_2,Q108,Q110,Q112,Q114_1,Q114_2,Q116,Q118,Q120,Q122_1,Q122_2,Q124
EQMtgbNuEMtC1Cl3eWjisQ**,3,,,,,,,,,,,,1,1,2,13,1,4,5,1,3,1,,,72,52,51,80,54,97,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,4,1,1,1,5,5,1,1,1,5,5,1,1,1,5,5,1,1,1,5,5,1
EQMtgbNuEMtc4smrWG0OIw**,3,,,,,,,,,,,,1,1,2,33,1,4,3,3,1,,,1,100,9,81,100,29,50,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,2,1,1,1,3,7,1,1,1,4,6,1,1,1,5,5,1,1,1,6,4,1
EQMtgbNuEMtC4T70FD739w**,2,,,,,,,,,,,,3,1,1,7,2,2,5,1,1,,,1,82,70,78,71,73,70,,,,1,1,1,1,4,6,1,1,1,5,5,1,1,1,2.4,7.6,1,1,1,6,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMtC5Xs0ajPXUA**,3,,,,,,,,,,,,1,1,1,4,1,2,3,2,2,,2,,9,28,10,50,39,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMtc95_QHR9SjQ**,2,,,,,,,,,,,,1,2,1,37,1,5,5,1,1,,,2,60,61,63,59,56,61,,,,1,1,1,1,5,5,1,1,1,5,5,1,1,1,6,4,1,1,1,5,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMtc9mHQm63eEA**,2,,,,,,,,,,,,1,1,1,5,1,6,2,3,3,1,,,37,62,60,19,61,90,,,,1,1,1,1,8,2,1,1,1,8,2,1,1,1,8,2,1,1,1,8,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMtcAaB3cw6qnA**,3,,,,,,,,,,,,1,1,1,27,1,9,6,2,3,1,,,56,43,53,66,37,48,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,5,5,1,1,1,5,5,1,1,1,8,2,1,1,1,9,1,1
EQMtgbNuEMtcATn-WUVC1Q**,3,,,,,,,,,,,,1,2,2,36,1,4,5,4,1,,,1,90,9,60,100,5,47,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,4,1,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMtCBgkoB4HiiQ**,1,1,2,2,3.5,3.5,Arthur Wolfe,Jeremy O'Neil,President of the Young Republicans,President of the Young Democrats,partisan,,1,2,7,38,1,1,2,5,1,,,2,68,39,88,64,13,15,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMtccZUuvYsbUA**,2,,,,,,,,,,,,1,2,1,29,1,1,3,6,1,,,2,11,1,28,30,1,34,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMtCDcjlSrKpzw**,2,,,,,,,,,,,,1,1,1,41,1,4,4,4,3,3,,,1,5,8,10,58,82,,,,1,1,1,1,8,2,1,1,1,10,0,1,1,1,8,2,1,1,1,10,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMtcfyEf5AE1Kw**,3,,,,,,,,,,,,1,2,2,47,1,5,4,2,1,,,1,99,2,99,96,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMtcfZ_RjL3pnA**,,,,,,,,,,,,,1,1,5,45,1,1,2,6,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMtcImPwXXUZJA**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMtcK0CUQGw3NA**,2,,,,,,,,,,,,1,1,2,27,1,1,3,6,1,,,1,100,0,100,100,0,0,,,,1,1,1,1,10,0,1,1,1,5,5,1,1,1,10,0,1,1,1,10,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMtckQ9SA0yt8A**,3,,,,,,,,,,,,1,2,4,51,1,1,5,4,1,,,1,50,44,47,46,28,52,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMtcLfit-Eo-QA**,3,,,,,,,,,,,,1,2,1,9,1,1,3,6,3,3,,,0,22,26,89,78,61,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,3,4,1,1,1,8,2,1,1,1,8,2,1,1,1,7,3,1,1,1,7,3,1
EQMtgbNuEMtCMN6YsW528A**,1,1,1,2,4,3.5,Arthur Wolfe,Jeremy O'Neil,President of the Young Republicans,President of the Young Democrats,partisan,,1,2,1,33,1,4,5,2,2,,1,,8,85,58,75,67,56,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMtCMV249LccfQ**,2,,,,,,,,,,,,6,1,1,31,1,2,1,3,1,,,2,4,29,29,29,49,13,,,,1,1,1,1,6,4,1,1,1,5,5,1,1,1,5,5,1,1,1,5,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMtCOaYqzp9yrw**,2,,,,,,,,,,,,1,2,1,22,1,1,6,5,1,,,1,9,9,100,99,6,7,,,,1,1,1,1,5,5,1,1,1,5,5,1,1,1,5,5,1,1,1,5,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMtcReHV0dTlFQ**,2,,,,,,,,,,,,1,1,2,44,1,1,3,4,3,1,,,91,4,83,100,2,82,,,,1,1,1,1,9,1,1,1,1,9,1,1,1,1,9,1,1,1,1,9,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMtcSdFugD1ggQ**,3,,,,,,,,,,,,7,2,2,56,1,1,2,6,1,,,1,100,3,100,100,3,13,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMtcSNrY66wQzw**,3,,,,,,,,,,,,1,2,1,12,1,1,2,3,3,3,,,60,51,51,82,73,62,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,3,4,1,1,1,5,5,1,1,1,6,4,1,1,1,5,5,1,1,1,7,3,1
EQMtgbNuEMtcUcXZMTXenA**,1,1,2,1,3.5,4,Arthur Wolfe,Jeremy O'Neil,President of the Young Republicans,President of the Young Democrats,partisan,,7,1,1,22,1,3,2,4,1,,,1,50,1,75,100,30,40,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMtCWq4058pKew**,2,,,,,,,,,,,,1,2,1,19,1,9,3,3,1,,,2,89,2,91,11,20,12,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMtCxMqWXiuC_g**,3,,,,,,,,,,,,1,1,3,4,1,5,3,3,3,3,,,100,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMtCYh7ykWZxSg**,1,1,1,1,4,4,Arthur Wolfe,Jeremy O'Neil,President of the Young Republicans,President of the Young Democrats,partisan,,6,2,3,32,1,8,5,4,1,,,1,21,0,27,50,0,51,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMtcZ9Dm3GachQ**,3,,,,,,,,,,,,1,2,2,21,1,1,2,1,1,,,1,100,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMtCzdeISpmiEQ**,1,1,1,2,4,3.5,Arthur Wolfe,Jeremy O'Neil,President of the Young Republicans,President of the Young Democrats,partisan,,1,2,1,35,1,9,3,2,2,,2,,1,55,1,37,49,70,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMtd_H1rh9CatA**,3,,,,,,,,,,,,7,1,2,43,1,1,3,5,1,,,2,83,30,91,54,32,43,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,3,2,1,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMtd_wIdcVZeWA**,,,,,,,,,,,,,7,2,2,40,1,1,3,2,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMtD-FeKY9PTyA**,2,,,,,,,,,,,,1,1,4,6,1,3,3,1,2,,1,,5,65,12,14,5,16,,,,1,1,1,1,0,10,1,1,1,10,0,1,1,1,10,0,1,1,1,10,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMtd06Jrae9f1Q**,2,,,,,,,,,,,,1,1,1,42,1,9,5,2,2,,1,,2,57,2,58,66,51,,,,1,1,1,1,6,4,1,1,1,10,0,1,1,1,7,3,1,1,1,10,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMtD0kLg-k2kkA**,1,2,2,2,3.5,3.5,Jamal Washington,Arthur Wolfe,President of the African American Student Association,President of Future Business Leaders Club,race,,1,1,4,7,1,1,4,4,3,3,,,90,30,71,50,81,81,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMtD1W_92vSmJg**,2,,,,,,,,,,,,1,1,1,16,1,8,5,3,3,3,,,72,57,49,42,46,60,,,,1,1,1,1,0,10,1,1,1,0,10,1,1,1,0,10,1,1,1,0,10,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMtd2FZwRHA-dw**,1,2,1,1,4,4,Jamal Washington,Arthur Wolfe,President of the African American Student Association,President of Future Business Leaders Club,race,,7,2,1,32,1,3,2,3,2,,2,,1,38,28,50,25,33,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMtd2v2o2eihAQ**,1,1,1,2,4,3.5,Arthur Wolfe,Jeremy O'Neil,President of the Young Republicans,President of the Young Democrats,partisan,,1,1,1,8,1,2,2,3,1,,,2,12,56,66,51,56,32,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMtd3XEwCshSug**,2,,,,,,,,,,,,1,2,2,26,1,1,1,6,1,,,1,50,0,50,70,0,0,,,,1,1,1,1,10,0,1,1,1,5,5,1,1,1,8,2,1,1,1,8,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMtd46OMRd38jQ**,,,,,,,,,,,,,1,1,3,7,1,5,4,4,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMtD46t8sJ3Fxw**,,,,,,,,,,,,,1,1,1,42,1,1,3,2,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMtd5SbQV6mqyA**,2,,,,,,,,,,,,1,1,3,34,1,1,3,2,4,3,,,10,25,25,60,3,3,,,,1,1,1,1,8,2,1,1,1,8,2,1,1,1,10,0,1,1,1,8,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMtd6Y8kK5y-vw**,3,,,,,,,,,,,,1,2,1,49,1,1,3,1,3,2,,,1,19,9,10,39,71,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2,4,1,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMtd9lxrUOoiqg**,2,,,,,,,,,,,,7,1,4,7,2,4,3,6,3,3,,,100,39,51,64,51,50,,,,1,1,1,1,5,5,1,1,1,5,5,1,1,1,5,5,1,1,1,5,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMtDbKvSG6v4sw**,1,2,1,2,4,3.5,Jamal Washington,Arthur Wolfe,President of the African American Student Association,President of Future Business Leaders Club,race,,1,2,1,68,1,1,5,2,3,2,,,2,47,16,77,90,96,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMtdC0WkbW3aAA**,2,,,,,,,,,,,,1,1,1,45,1,8,8,4,1,,,1,99,4,78,92,8,87,,,,1,1,1,1,5,5,1,1,1,5,5,1,1,1,5,5,1,1,1,5,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMtdd7XoCYiYkA**,1,2,2,2,3.5,3.5,Jamal Washington,Arthur Wolfe,President of the African American Student Association,President of Future Business Leaders Club,race,,2,2,5,20,1,4,4,4,1,,,2,50,20,61,90,1,71,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMtDfom97vknZA**,3,,,,,,,,,,,,1,1,1,37,1,1,3,3,3,3,,,11,39,9,90,48,79,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMtdfV_j_gu6fA**,3,,,,,,,,,,,,1,2,2,39,1,6,5,5,1,,,1,100,3,100,100,3,44,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,3,4,1,1,1,10,0,1,1,1,0,10,1,1,1,0,10,1,1,1,0,10,1
EQMtgbNuEMtDG_gck6CTwA**,1,2,1,1,4,4,Jamal Washington,Arthur Wolfe,President of the African American Student Association,President of Future Business Leaders Club,race,,1,1,2,14,1,8,5,3,1,,,2,71,59,82,85,58,68,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMtDHoBJsjrt-A**,3,,,,,,,,,,,,1,1,1,36,1,2,5,3,3,3,,,70,49,51,68,8,80,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMtdIF2itg5yYg**,2,,,,,,,,,,,,7,1,4,22,1,6,5,4,3,1,,,40,23,39,50,11,62,,,,1,1,1,1,10,0,1,1,1,9,1,1,1,1,8,2,1,1,1,8,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMtdJk7w3C7UWQ**,1,1,2,1,3.5,4,Arthur Wolfe,Jeremy O'Neil,President of the Young Republicans,President of the Young Democrats,partisan,,1,2,2,50,1,7,4,4,1,,,1,100,7,100,99,3,7,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMtdKF0V9KHoAg**,3,,,,,,,,,,,,1,1,2,35,1,1,3,3,3,1,,,66,55,55,57,38,71,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,4,1,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMtdKoajvwAN6g**,2,,,,,,,,,,,,1,2,1,47,1,2,2,1,3,3,,,0,50,51,50,60,58,,,,1,1,1,1,6,4,1,1,1,8,2,1,1,1,5,5,1,1,1,5,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMtDmEo6_a9Ihw**,3,,,,,,,,,,,,4,1,4,62,1,1,5,3,1,,,2,50,9,81,9,9,91,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,1,1,1,1,10,0,1,1,1,0,10,1,1,1,10,0,1,1,1,10,0,1
EQMtgbNuEMtdqhsJ8JYKdw**,3,,,,,,,,,,,,1,1,1,20,1,9,6,2,3,1,,,53,35,74,12,37,54,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,4,1,1,1,2,8,1,1,1,8,2,1,1,1,4,6,1,1,1,0,10,1
EQMtgbNuEMtDRYZ7BjjyqQ**,3,,,,,,,,,,,,1,1,2,33,1,2,4,5,1,,,1,99,3,99,64,31,46,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,3,4,1,1,1,7,3,1,1,1,4,6,1,1,1,3,7,1,1,1,3,7,1
EQMtgbNuEMtdXaK7nvOGjg**,1,2,1,2,4,3.5,Jamal Washington,Arthur Wolfe,President of the African American Student Association,President of Future Business Leaders Club,race,,1,1,1,12,1,6,5,1,1,,,1,69,44,84,34,39,65,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMtDyM8oLLXAaA**,2,,,,,,,,,,,,7,2,3,2,1,1,3,3,2,,2,,50,100,39,100,50,50,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMtdYrEdT1Jbgw**,3,,,,,,,,,,,,1,1,1,25,1,9,6,4,2,,1,,84,79,58,74,79,89,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,3,2,1,1,1,0,10,1,1,1,1,9,1,1,1,2,8,1,1,1,3,7,1
EQMtgbNuEMtDz4OtcRLD3A**,3,,,,,,,,,,,,1,2,1,50,1,1,5,4,1,,,1,79,49,71,99,50,82,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,3,4,1,1,1,6,4,1,1,1,6,4,1,1,1,6,4,1,1,1,6,4,1
EQMtgbNuEMte_kv1h3kU7g**,1,2,1,1,4,4,Jamal Washington,Arthur Wolfe,President of the African American Student Association,President of Future Business Leaders Club,race,,1,2,1,23,1,1,4,3,2,,2,,44,44,44,70,38,36,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMte1iyaB8zBnw**,2,,,,,,,,,,,,6,2,3,21,1,1,5,3,1,,,1,100,8,82,84,6,8,,,,1,1,1,1,5,5,1,1,1,5,5,1,1,1,5,5,1,1,1,5,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMte4fCsplayIg**,2,,,,,,,,,,,,1,1,1,51,1,2,5,3,2,,2,,0,100,0,100,100,100,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMte6oW5nu_Btw**,3,,,,,,,,,,,,1,2,4,42,1,2,2,2,2,,2,,0,27,19,90,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMte7FHTm0Pzaw**,1,1,1,1,4,4,Arthur Wolfe,Jeremy O'Neil,President of the Young Republicans,President of the Young Democrats,partisan,,6,2,1,21,1,9,5,5,4,1,,,72,14,75,99,0,22,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMtEaAOGcGwy0Q**,3,,,,,,,,,,,,7,2,1,47,1,1,2,4,1,,,2,68,41,61,51,28,33,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,1,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMteAXxZ5hK6pA**,3,,,,,,,,,,,,1,1,3,36,2,1,5,2,1,,,1,71,39,77,16,18,9,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,2,1,1,1,10,0,1,1,1,10,0,1,1,1,10,0,1,1,1,,10,1
EQMtgbNuEMteb1IgJ_1pOA**,2,,,,,,,,,,,,1,1,2,45,1,9,5,4,1,,,1,100,0,100,100,0,50,,,,1,1,1,1,8,2,1,1,1,8,2,1,1,1,8,2,1,1,1,8,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMtEevF8xh1PhA**,3,,,,,,,,,,,,2,1,2,35,1,1,3,4,2,,2,,70,60,50,100,30,40,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,3,4,1,1,1,10,0,1,1,1,9,1,1,1,1,10,0,1,,,,,
EQMtgbNuEMteF6lSZRp3qA**,1,1,2,2,3.5,3.5,Arthur Wolfe,Jeremy O'Neil,President of the Young Republicans,President of the Young Democrats,partisan,,7,1,1,45,1,7,3,3,1,,,1,70,51,71,71,1,63,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMtEfh3BeYY-kQ**,3,,,,,,,,,,,,1,2,1,45,1,1,2,3,2,,2,,3,86,20,2,4,30,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,4,1,1,1,8,2,1,1,1,3,7,1,1,1,8,2,1,1,1,4,6,1
EQMtgbNuEMteFRgbWE-axQ**,3,,,,,,,,,,,,1,1,1,51,1,6,3,2,4,3,,,3,6,6,51,20,18,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,4,1,1,1,7,3,1,1,1,8,2,1,1,1,7,3,1,1,1,8,2,1
EQMtgbNuEMteGqqwCJTxLw**,1,1,1,2,4,3.5,Arthur Wolfe,Jeremy O'Neil,President of the Young Republicans,President of the Young Democrats,partisan,,1,1,2,11,1,9,6,5,1,,,1,90,50,85,100,1,60,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMtegWRBR73N9A**,1,2,1,1,4,4,Jamal Washington,Arthur Wolfe,President of the African American Student Association,President of Future Business Leaders Club,race,,1,1,1,46,1,1,3,2,4,3,,,5,46,6,59,49,50,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMteIbWDu2ufpQ**,3,,,,,,,,,,,,1,1,1,13,1,5,5,6,3,1,,,93,19,83,100,0,52,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,4,1,1,1,7,3,1,1,1,7,3,1,1,1,7,3,1,1,1,7,3,1
EQMtgbNuEMteM3jK-xsFMw**,1,2,2,1,3.5,4,Jamal Washington,Arthur Wolfe,President of the African American Student Association,President of Future Business Leaders Club,race,,1,1,1,62,1,1,5,2,2,,1,,2,100,1,66,68,60,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMteMg_fyg2PBQ**,3,,,,,,,,,,,,7,2,5,20,1,1,6,6,4,,,,100,100,100,99,99,99,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,4,1,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMtEPEZukAGbkg**,1,1,1,2,4,3.5,Arthur Wolfe,Jeremy O'Neil,President of the Young Republicans,President of the Young Democrats,partisan,,1,2,2,11,1,1,2,5,1,,,1,100,0,100,100,0,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMtEQtmlSyt3hQ**,2,,,,,,,,,,,,5,1,4,19,2,9,6,3,3,3,,,19,30,30,60,51,81,,,,1,1,1,1,10,0,1,1,1,10,0,1,1,1,10,0,1,1,1,10,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMtEsxVeUNOVZg**,3,,,,,,,,,,,,1,2,4,16,1,1,5,3,1,,,2,70,55,70,98,44,53,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,3,4,1,1,1,5,5,1,1,1,5,5,1,1,1,3,7,1,1,1,6,4,1
EQMtgbNuEMteTaCOONqfEg**,2,,,,,,,,,,,,6,2,1,14,1,2,4,6,4,1,,,51,10,49,70,9,71,,,,1,1,1,1,9,1,1,1,1,6,4,1,1,1,6,4,1,1,1,6,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMtEtdQZsMiK8Q**,3,,,,,,,,,,,,1,1,4,23,1,6,3,2,3,2,,,2,40,20,40,40,49,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,2,1,1,1,10,0,1,1,1,10,0,1,1,1,9,1,1,1,1,10,0,1
EQMtgbNuEMtETgLeTEAj6A**,3,,,,,,,,,,,,1,2,1,47,1,9,5,2,3,2,,,57,42,40,79,30,82,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,3,4,1,1,1,6,4,1,1,1,6,4,1,1,1,6,4,1,1,1,6,4,1
EQMtgbNuEMtEtOREXD9Z8Q**,1,1,2,1,3.5,4,Arthur Wolfe,Jeremy O'Neil,President of the Young Republicans,President of the Young Democrats,partisan,,1,2,1,16,1,4,5,3,3,2,,,30,72,71,99,42,54,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMteucaFatpdag**,2,,,,,,,,,,,,1,1,1,58,1,1,3,2,2,,1,,0,97,0,0,92,86,,,,1,1,1,1,10,0,1,1,1,10,0,1,1,1,10,0,1,1,1,10,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMtEUV-AIUMM5Q**,2,,,,,,,,,,,,1,1,4,37,2,7,5,3,1,,,1,100,0,92,49,0,0,,,,1,1,1,1,10,0,1,1,1,5,5,1,1,1,8,2,1,1,1,5,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMtEvJGayM5mjQ**,3,,,,,,,,,,,,1,1,4,25,1,1,2,5,3,3,,,2,2,2,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,3,1,1,1,2,8,1,1,1,1,9,1,1,1,2,8,1,1,1,2,8,1
EQMtgbNuEMtEypeemJnTXQ**,3,,,,,,,,,,,,1,1,1,11,1,7,6,3,3,3,,,19,0,0,0,0,51,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,4,1,1,1,10,0,1,1,1,5,5,1,1,1,10,0,1,1,1,10,0,1
EQMtgbNuEMtEZh-66nGdaQ**,1,1,1,2,4,3.5,Arthur Wolfe,Jeremy O'Neil,President of the Young Republicans,President of the Young Democrats,partisan,,1,2,1,32,1,4,3,3,1,,,2,50,50,50,50,50,50,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
