psid,study1,scholarshipCondition,gpa1,gpa2,gpa1value,gpa2value,name1,name2,club1,club2,scholarship,Q40,Q102,Q43,Q44,Q45,Q47,Q48,Q49,Q50,Q51,Q52,Q53,Q54,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q13,Q14,Q103_4,Q42,Q46,Q48,Q50,Q52_1,Q52_2,Q54,Q56,Q58,Q60_1,Q60_2,Q62,Q64,Q66,Q68_1,Q68_2,Q70,Q72,Q74,Q76_1,Q76_2,Q78,Q126,Q72,Q80,Q82,Q84,Q86,Q88,Q90,Q92,Q94,Q96,Q98_1,Q98_2,Q100,Q102,Q104,Q106_1,Q106_2,Q108,Q110,Q112,Q114_1,Q114_2,Q116,Q118,Q120,Q122_1,Q122_2,Q124
EQMtgbNuEMs-_Zp0OVeoDw**,3,,,,,,,,,,,,1,2,2,23,1,1,3,6,4,3,,,100,0,83,98,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMs-0IC3QDuN8w**,,,,,,,,,,,,,7,2,6,46,1,1,5,6,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMs-1rW4kc_pMA**,2,,,,,,,,,,,,1,2,1,15,1,6,5,2,2,,1,,1,74,2,41,62,58,,,,1,1,1,1,3,7,1,1,1,10,0,1,1,1,0,10,1,1,1,3,7,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMs-8nBJlR4LhA**,3,,,,,,,,,,,,5,1,1,34,1,1,2,3,1,,,2,90,40,91,80,51,50,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,3,4,1,1,1,5,5,1,1,1,7,3,1,1,1,4,6,1,1,1,8,2,1
EQMtgbNuEMs-BavOLOWNbA**,2,,,,,,,,,,,,1,2,1,27,1,4,3,1,3,2,,,1,27,1,100,100,100,,,,1,1,1,1,8,2,1,1,1,8,2,1,1,1,8,2,1,1,1,8,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMs-c4i0jE-iuA**,,,,,,,,,,,,,1,2,2,19,1,2,4,3,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMs-DsPQI_NNjg**,3,,,,,,,,,,,,1,2,1,25,1,9,4,3,2,,1,,0,100,52,100,51,100,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,3,4,1,1,1,0,10,1,1,1,0,10,1,1,1,0,10,1,1,1,0,10,1
EQMtgbNuEMs-Gnjk2P16AA**,2,,,,,,,,,,,,1,1,1,5,2,5,5,6,2,,2,,49,58,34,49,55,43,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMs-gnueAs9xCQ**,2,,,,,,,,,,,,1,1,1,19,1,4,2,1,4,3,,,0,26,9,0,28,46,,,,1,1,1,1,5,5,1,1,1,10,0,1,1,1,5,5,1,1,1,5,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMs-hfV4OnfzJA**,1,2,1,2,4,3.5,Jamal Washington,Arthur Wolfe,President of the African American Student Association,President of Future Business Leaders Club,race,,1,2,1,53,1,1,2,2,1,,,2,1,1,2,1,0,9,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMs-ikAFEotmLA**,1,2,1,2,4,3.5,Jamal Washington,Arthur Wolfe,President of the African American Student Association,President of Future Business Leaders Club,race,,1,2,1,36,1,9,5,3,2,,2,,49,80,49,82,40,51,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMs-j_1Etc78ug**,,,,,,,,,,,,,4,2,4,7,1,8,6,1,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMs-JedVDThLAw**,2,,,,,,,,,,,,1,1,1,2,1,1,2,2,4,1,,,4,71,20,100,32,41,,,,1,1,1,1,10,0,1,1,1,10,0,1,1,1,10,0,1,1,1,10,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMs-jggffW2QAg**,2,,,,,,,,,,,,1,1,1,57,1,3,3,2,2,,1,,3,42,7,43,83,66,,,,1,1,1,1,5,5,1,1,1,6,4,1,1,1,5,5,1,1,1,6,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMs-KTBnBLGCSg**,1,2,1,1,4,4,Jamal Washington,Arthur Wolfe,President of the African American Student Association,President of Future Business Leaders Club,race,,1,2,2,6,1,1,2,3,2,,2,,100,100,6,100,11,100,1,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQMtgbNuEMs-Lqqv-tOs8g**,3,,,,,,,,,,,,1,2,1,10,1,1,2,1,3,1,,,100,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,
